id_hd,id_casi,x,y,creator,title,repType,keywordsall,Xnorm,L5
metadc277377,19930094753,331.23809305944263,983.3849485332837,"Biche, Jean",Problems Concerning the Stability and Maneuverability of Airplanes,TM,wing tunnel testing aircraft stability,36.0,1.8
metadc277378,19930094802,542.5545306069752,1008.4727599467757,"Elias, Franz",The Transference of Heat From a Hot Plate to an Air Stream,TM,heat transfer characteristics hydrodynamics,59.0 59.0,1.1.4 1.1.4.3
metadc277379,19930090664,230.01429886523425,1188.7465764850465,"Dornier, C.",Recent Developments in the Construction and Operation of All-Metal Airplanes,TM,aircraft construction all-metal aircraft,30.0 20.0,4.2 5.1.1
metadc277380,19930094813,858.7450285569856,1032.0442257130326,"Léglise, Pierre",Clerget 100 Hp Heavy-Oil Engine,TM,heavy-oil engines aircraft engines,93.0 94.0,3.1.1.2 3.2.1.3
metadc277381,19930086514,947.6106486780657,1254.3745124081227,"Alt, Otto",Combustion of Liquid Fuels in Diesel Engine,TM,aircraft fuel diesel engines,103.0,3.5.2.1.2
metadc277382,19930094825,395.4796277940252,1034.7599622918221,"Fuchs, R.",Mathematical treatise on the recovery from a flat spin,TM,flat spin aircraft control,43.0,1.8.3
metadc277383,19930090701,556.5567615452442,1197.2251506494188,"Lachmann, G.",Development of Light and Small Airplanes,TM,light aircraft small aircraft aircraft design,70.0 51.0,1.6.2.2 1.7.1.3
metadc277384,19930094754,274.96598127527244,966.3944491926677,"Sänger, Eugen",Accurate Calculation of Multispar Cantilever and Semicantilever Wings With Parallel Webs Under Direct and Indirect Loading,TM,aircraft wings aircraft loading,30.0,4.2
metadc277385,19930086566,168.69468494854326,1258.7348579045174,"Elsässer, R.",Measuring Vibration and Torque With the Oscillograph,TM,aircraft vibrations aircraft torque oscillographs,44.0 3.0 8.0,1.10 8.2 9.2.5
metadc277386,19930090752,589.7916622641268,1108.3296365740794,"Loew, Gottfried",Contribution to the Systematic Investigation on Joukowsky Profiles,TM,Joukowsky profiles airfoils,64.0 64.0,1.2.1.2.1 1.2.1.2.2
metadc277387,19930090827,461.53689489571565,1123.6371557434063,"Schrenk, Martin",A Few More Mechanical-Flight Formulas Without the Aid of Polar Diagrams,TM,polar curves aircraft design aircraft performance,51.0,1.7.1.3
metadc277388,19930090661,901.6360646224738,1241.4794001264975,"Kuehn, R.","Atomization of Liquid Fuels Part 3: Critical Discussion of Experimental Reesults, Mixing the Atomized Fuel with Air",TM,aircraft fuels fuel atomization,94.0 97.0 103.0,3.2.1.2 3.4.3 3.5.2.1
metadc277389,19930090768,346.5282895727037,1160.7760790410941,"Raethjen, P.",Kinetographic Determination of Airplane Flight Characteristics,TM,flight characteristics aerodynamics,51.0 54.0 8.0,1.7.1.3 1.8.1.2 9.2.2
metadc277390,19930086640,101.2261059753823,1263.3302096417312,"Ziembinski, S.",Motive Power Required to Operate a Wind Tunnel,TM,wind tunnel testing aerodynamics,11.0,9.1.1
metadc277391,19930094751,467.6666337832945,966.7645687055838,"Schrenk, Martin",The Mutual Action of Airplane Body and Power Plant,TM,aircraft power engine power curves,51.0,1.7.1.1.4
metadc277393,19930090722,470.8293414380353,1220.461590855556,"Panetti, M.",Aerodynamic Characteristics of Aircraft With Reference to Their Use,TM,airplanes construction,51.0,1.7.1.3
metadc277394,19930086378,87.86721266649059,1259.359223659053,"Wieselsberger, C.",Wind Tunnel Tests of Correction Formula for Wings of Large Span,TM,wind tunnel testing aircraft wings,11.0 8.0,9.1.1 9.2.1
metadc277396,19930090823,699.1217339506798,1036.4017942954933,"Repenthin, Walter",Investigation of the Variations in the Velocity of the Air Flow About a Wing Profile,TM,aircraft wings wing profiles,88.0 64.0,1.1 1.2.1.1
metadc277398,19930094780,977.0549565409061,993.8002954604732,"Michael, Franz",Experiments With Airplane Brakes,TM,brake shoes aircraft brakes,106.0,7.1
metadc277399,19930080746,507.1061871968813,1379.5094255739043,"Friedensburg, Walter",Distant-Compass,TM,aircraft compasses fluid compasses,106.0 4.0,7.2 8.1
metadc277400,19930094803,974.9157029794386,1004.0761521444529,"Hirth, Wolfram K. E.","Elmira Soaring Contest, 1930",TM,aircraft competitions aircraft design,106.0,7.9
metadc277401,19930092450,975.2050760553308,1051.7128782543664,"Brunat, Henri",Combating Airplane Fires,TM,aircraft fires aircraft safety,106.0 106.0,7.1 7.9
metadc277402,19930094783,55.18714908969492,1007.6813130994417,"Peters, H.",Effect of Viscosity in Speed Measurements With Double-Throat Venturi Tubes,TM,double-throat Venturi tubes pressure characteristics,4.0 8.0,8.1 9.2.2
metadc277405,19930090850,331.2020789493885,1099.1089277498331,"Boykow, H.",Mechanical Control of Airplanes,TM,aircraft control mechanical control,36.0,1.8
metadc277406,19930094801,496.74856770262414,1002.5417838161516,"Kruse, Helmuth",A Study of Curvilinear Flight,TM,curvilinear flight flight characteristics,54.0,1.8.1.2.2
metadc277407,19930086912,656.5689580702907,1212.814525331595,Poeschel,Suggestions for Courses of Instruction in Aviation,TM,aviation instruction aircraft history,37.0 106.0,1.7.5 7.1
metadc277409,19930090803,975.96558154847,1103.9731969365669,"Müller, Waldemar",Parachutes for Aircraft,TM,aircraft parachutes aircraft safety,106.0,7.1
metadc277410,19930094799,602.384781054442,1000.2783548540058,"Arsandaux, L.",Investigation of Certain Wing Shapes With Sections Varying Progressively Along the Span,TM,aircraft wings variable wing sections,65.0 65.0 65.0,1.2.2.1 1.2.2.2 1.2.2.2.4
metadc277411,19930091056,647.0636631511785,1488.3073144006805,"de Bothezat, George",An Introduction to the Laws of Air Resistance of Aerofoils,TR,airfoils air resistance,64.0 65.0 82.0,1.2.1.1 1.2.2.1 1.5.1
metadc277412,19930090885,285.2301345107616,1068.4661742165424,"Pollard, H. J.","Metal Construction Development Part 1: General, Strip Metal Construction - Fuselage",TM,metal aircraft aircraft construction,32.0 30.0,4.1.1 4.2
metadc277413,19930092446,994.0788936793996,1038.2058698252274,"Gustosa, Corrado","Structural Details of the Giant Dornier Seaplane ""Do X.""",TM,Dornier Do X seaplanes aircraft design,108.0,2.4
metadc277415,19930094744,533.6365149038835,975.8489425341237,"Lürenbaum, Karl",Torsional Vibration of Aircraft Engines,TM,torsional vibration aircraft engines,93.0 23.0,3.1.1 5.3.2
metadc277416,19930080763,183.9856634619455,1381.0510660624393,"Gallo, Gino",Tin Soldering of Aluminum and Its Alloys,TM,soldering properties metallic properties,20.0,5.1.1
metadc277417,19930094827,901.6188254023497,1047.3169193274996,"Neumann, Kurt",Diesel-Engine Investigations: Ignition-Chamber Engines,TM,diesel engines aircraft engines ignition chamber engines,93.0 103.0,3.1.1.2 3.5.2.1.2
metadc277418,19930083401,87.57779310841688,1309.6121574766926,"Lesage, André",Technical Section of Aeronautics,TM,aircraft testing flight testing,11.0 8.0,9.1 9.2
metadc277419,19930090792,478.45163321945915,1171.5905891092227,"Camm, F. J.",Building a Full-Size Glider,TM,gliders aircraft construction,51.0,1.7.1.2
metadc277420,19930094787,397.1105749466408,1028.9860432117916,"Fuchs, Richard",The Dangerous Flat Spin and the Factors Affecting It,TM,spinning characteristics aerodynamics,43.0,1.8.3
metadc277421,19930094793,474.0906345248803,1017.0982609880656,"Georgii, Walter","Eleventh Rhön Soaring-Flight Contest, 1930",TM,aircraft competitions aircraft design,51.0,1.7.1.3
metadc277422,19930090761,587.3921449766411,1143.0790865382291,"Sabatier, J.",Researches on ailerons and especially on the test loads to which they should be subjected,TM,ailerons aircraft loading,64.0 64.0,1.2.1.3 1.2.1.5.1
metadc277423,19930090643,920.0396913776243,1207.9107472478236,"Neumann, Kurt",Experiments on Self-Ignition of Liquid Fuels,TM,aircraft fuel aircraft combustion self-ignition,97.0 103.0,3.4 3.5
metadc277424,19930094616,386.42089048431296,827.8613414699902,"Lotz, Irmgard",Correction of Downwash in Wind Tunnels of Circular and Elliptic Sections,TM,wind tunnel testing downwash corrections,65.0 54.0 41.0 8.0,1.2.2.7 1.8.1.1.1 1.8.2.1 9.2.1
metadc277425,19930090809,276.0013888135329,1154.2852996513475,"Gymnich, Alfried",Structural Details of German Gliders,TM,gliders aircraft design,30.0,4.2
metadc277426,19930094832,499.6022790393669,1062.269138970558,"Blenk, Hermann",Flight Tests for the Determination of Static Longitudinal Stability,TM,aircraft stability aircraft testing,54.0,1.8.1.1.1
metadc277427,19930090904,910.7140031367728,1079.2943165767779,"Steigenberger, O.",Calculation of the Pressures on Aircraft Engine Bearings,TM,aircraft engines pressure characteristics,99.0,3.8.2.1
metadc277428,19930090774,588.4443172725768,1137.1722900970547,"Van der Hegge Zijnen, B. G.",Determining the Velocity Distribution in the Boundary Layer of an Airfoil Fitted With a Rotary Cylinder,TM,velocity distribution airfoils,64.0 64.0,1.2.1.4 1.2.1.6
metadc277429,19930094800,87.38304429019838,1002.0480712935707,"Karner, L.",Aeronautical education and research at the Swiss Institute of Technology in Zurich,TM,aeronautics research aircraft engines,11.0 8.0,9.1 9.2
metadc277430,19930094770,973.4731127896154,1014.1032426109448,"Kurz, Gerhard",Measurement of Visibility From the Pilot's Cockpit on Different Airplane Types,TM,cockpit visibility aircraft pilots,106.0 106.0,7.1 7.5
metadc277431,19930084559,343.4933008631303,1285.3763669648947,"Crocco, G. A.",Replacing the Weight of Materials Consumed on Airships,TM,airships airship weight,37.0,1.7.5
metadc277432,19930094821,214.6308414405134,1066.2198615373156,"Schwencke, D.",English Airplane Construction,TM,aircraft construction aerodynamics,30.0 20.0 20.0,4.2 5.1.2 5.1.10
metadc277433,19930083875,496.7026289613878,1314.32926807167,"Eteve, Albert",Longitudinal Balancing of Airplanes,TM,aircraft balancing aircraft stability,54.0,1.8.1.1
metadc277434,19930090800,495.9517834263901,1164.4325538443654,"Lippisch, A.",Approximation method for determining the static stability of a monoplane glider,TM,aircraft stability aircraft wings,54.0,1.8.1.1.1
metadc277436,19930084606,808.3113920773151,1290.5123258196256,"Sayers, W. H.",Vorticism in Aeronautics,TM,vorticism airfoils,88.0,1.1
metadc277437,19930094796,446.29114563728723,1012.4775101511066,"v. Baranoff, A.",Combined Pitching and Yawing Motion of Airplanes,TM,ailerons aircraft control,54.0 43.0,1.8.1.2 1.8.3
metadc277438,19930092445,496.7861013082905,1092.7507653202085,"Müller, Horst",The Balance of Moments and the Static Longitudinal Stability of Airplanes,TM,aircraft stability aircraft design,54.0,1.8.1.1.1
metadc277439,19930084575,976.942175655566,1303.4717576065414,"Dollfus, Charles","""Schneebeli"" and ""Birger"" Silencers",TM,aircraft silencers noise reductions,106.0,7.4
metadc277440,19930086294,211.53516502989356,1245.8370164804394,"Portevin, A. M.",Ultra-Light Alloys and Their Utilization on Aircraft,TM,aircraft construction ultra-light alloys metallic properties,20.0 26.0,5.1.2 5.2
metadc277441,19930094791,674.4706159792886,1004.2528218322954,"Prandtl, L.",Effect of Stabilizing Forces on Turbulence,TM,turbulence meteorology aircraft stability,88.0 58.0,1.1 1.1.3.2
metadc277442,19930090839,971.8986022635786,1108.3848009098185,"Tucker, W. S.",The Problem of Noise in Civil Aircraft and the Possibilities of Its Elimination,TM,aircraft noise aircraft power sound dampening,106.0 106.0,7.4 7.4
metadc277443,19930090900,275.94364320119394,1067.069327724593,"Vogt, R.",Unsymmetrical Forces in an Airplane Cell,TM,aircraft cells aerodynamics,30.0,4.2
metadc277444,19930094682,87.4142374943122,901.8697367452536,"Kempf, G.",The high-speed tank of the Hamburg Shipbuilding Company,TM,seaplanes water landings,11.0 8.0,9.1.3 9.2.3
metadc277445,19930094776,973.1383309319464,998.3455777632444,"Léglise, Pierre","The New ""Charlestop"" Remote Brake Transmission and Control",TM,brake systems remote brakes,106.0,7.1
metadc277446,19930081080,972.7803681930184,1335.2169296134798,Franck,Communications and Beacons on Air Routes,TM,aircraft routes aircraft communications,106.0 106.0,7.1 7.2
metadc277447,19930084036,337.8394609483961,1283.367620043916,"Crocco, G. Arturo",Use of Helium in Airships,TM,airships helium gas properties,37.0,1.7.5
metadc277448,19930083929,976.8159826224547,1285.7064563735769,"Bleriot, Louis",Safety Factors in Aviation,TM,aircraft safety stress characteristics,106.0,7.1
metadc277449,19930094750,400.23024999301583,972.1205193376708,"Lademann, Robert W. E.",Development of Tailless and All-Wing Gliders and Airplanes,TM,tailless aircraft all-wing aircraft aircraft design,51.0 36.0,1.7.1.2 1.8
metadc277450,19930094845,493.6482730347523,1063.011233780306,"Schrenk, Oskar",A Possible Method for Preventing the Autorotation of Airplane Wings,TM,aircraft wings autorotation prevention,65.0 43.0,1.2.2.3.2 1.8.3
metadc277451,19930090903,597.7599350563511,1092.112933321961,"Betz, A.",Contribution to the Aileron Theory,TM,ailerons aircraft wings,65.0,1.2.2.1
metadc277452,19930094769,277.46480155269444,1010.9794492262238,"Teichmann, Alfred",Spatial Buckling of Various Types of Airplane Strut Systems,TM,buckling problems aircraft struts,30.0,4.2
metadc277453,19930092452,197.6547078678511,1060.1286855993312,"Schwarz, O.",The Relation Between the Tensile Strength and the Hardness of Metals,TM,tensile strength metallic properties,20.0 20.0 20.0 26.0,5.1.1 5.1.3 5.1.12 5.2.1
metadc277454,19930094837,214.72720226688165,1051.9197133593243,"Schrenk, Martin",Structural Details of German Light Airplanes,TM,aircraft construction light aircraft,30.0 20.0 20.0,4.2 5.1.1 5.1.7
metadc277455,19930090748,391.154125664904,1199.4121756207492,Benoit,Designing Seaplane Hulls and Floats,TM,seaplanes seaplane hulls aircraft design,108.0 11.0 8.0,2.2 9.1.3 9.2.3
metadc277456,19930090689,892.7442812149424,1183.4471347591216,"Heinlein, Fritz","Experimental Investigation of the Physical Properties of Medium and Heavy Oils, Their Vaporization and Use in Explosion Engines Part 3",TM,aircraft fuels aircraft engines,97.0,3.4.2
metadc277458,19930090901,892.5266717032088,1072.403943507804,"Gosslau, F.",Mathematical and Experimental Investigation of Heat Control and Power Increase in Air-Cooled Aircraft Engines,TM,aircraft engines air-cooled engines,93.0 101.0,3.1.1 3.10.1.2
metadc277459,19930090780,322.0015460593948,1171.062679326639,"Prandtl, L.",Effects of Streamline Curvature on Lift of Biplanes,TM,biplanes aerodynamics lift coefficients,35.0,1.7.6
metadc277460,19930094749,533.6446877508247,962.319485126952,"Betz, A.",Application of the Theory of Free Jets,TM,aerodynamics free jets,58.0,1.1.3.3
metadc277462,19930084773,36.813135564527435,1245.6469875069768,"Everling, E.",Aeronautic Instruments,TM,aircraft instruments instrument development,4.0,8.1
metadc277463,19930090897,975.2234764474306,1096.9801977831285,"Sabatier, J.",Fire prevention on airplanes. Part 1,TM,aircraft safety aircraft fires,106.0 106.0,7.1 7.7
metadc277464,19930084666,552.7637931976145,1292.476015599341,"Dunstan, A. E.","Aviation Spirit - Past, Present, and Future",TM,aircraft fuels aircraft power,97.0 97.0 20.0 26.0,3.4.1 3.4.3.1.1 5.1.12 5.2
metadc277465,19930090865,254.48750043068142,1087.5099109460812,"Katzmayr, R.",Aeromechanical Experimentation (Wind Tunnel Tests),TM,wind tunnel testing aerodynamics,64.0 11.0 8.0,1.2.1.7 9.1.1 9.2.2
metadc277466,19930084770,557.5706792438418,1246.7788392538346,"Langsdorff, Werner v.",Remarks on Building of Low-Powered Airplanes,TM,low-powered aircraft aircraft design,70.0 51.0,1.6.2.2 1.7.1.3
metadc277467,19930091477,759.1685863883013,1013.6560243323867,"Theodorsen, Theodore",Ice Prevention on Aircraft by Means of Engine Exhaust Heat and a Technical Study of Heat Transmission From a Clark Y Airfoil,TR,ice formation heat transmission,59.0 106.0,1.1.4.2 7.3.3
metadc277468,19930086403,370.9837654658329,1276.731972099839,"Robrovsky, T.",Device for Measuring Sound in Airplane Engines,TM,sound measuring devices aircraft engines,106.0 4.0 11.0,7.4 8.1 9.1.2
metadc277469,19930090829,588.1278972041817,1120.2523740552683,"Toussaint, A.",Choice of Profile for the Wings of an Airplane Part 2,TM,aircraft wings wing profiles,64.0 64.0 64.0 64.0,1.2.1.1 1.2.1.2.1 1.2.1.2.2 1.2.1.2.3
metadc277471,19930090889,497.2612582995269,1067.8008918221415,"Katzmayr, Richard",Travel of the Center of Pressure of Airfoils Transversely to the Air Stream,TM,airfoils pressure characteristics,54.0,1.8.1.1.2
metadc277472,19930090874,858.6580402642004,1066.5109329555735,"List, Hans",Crank Case Scavenging of Two-Stroke-Cycle Engines,TM,aircraft engines diesel engines,93.0 94.0,3.1.1.1 3.2.1
metadc277473,19930094848,910.7811385271203,1037.877406891477,"Jaquerod, A.",Experimental Research on the Friction of Pivots,TM,friction characteristics pivot friction,99.0 99.0 99.0,3.8.1.1 3.8.1.3 3.8.2
metadc277474,19930084765,947.6230595064357,1333.1428648117585,"Pothmann, P.",Spontaneous Combustion of Hydrogen,TM,spontaneous combustion hydrogen thermal reactions,103.0,3.5.1
metadc277475,19930090717,469.18667906355165,1237.241635287688,Freyssinet,"Concrete Airship Sheds at Orly, France Part 2: Supporting Structure and Method of Moving, Mechanism for Moving the Centering, Apparatus for Handling the Materials, Remarks on Construction Details",TM,airships airship sheds,65.0 37.0,1.2.2.1 1.7.5
metadc277477,19930094790,809.590879070977,1025.913840664822,"Lagally, M.",The Frictionless Flow in the Region Around Two Circles,TM,frictionless flow flow characteristics,88.0,1.1
metadc277478,19930083402,101.15898042770122,1305.405762313038,Robert,The laboratories of the Technical Section of Aeronautics (Service Technique de L'Aeronautique or S.T.Ae.),TM,aircraft testing laboratories,11.0,9.1
metadc277479,19930094768,13.870450998115746,1023.2507835727923,"Lange, K. O.",Measurements of Vertical Air Currents in the Atmosphere,TM,vertical air currents meteorology,1.0 2.0,6.1.2 8.3
metadc277481,19930090765,195.53282673892326,1165.9314284123875,"Nelson, William",The Protection of Duralumin From Corrosion,TM,metallic coatings metallic corrosion,20.0 20.0 23.0,5.1.1 5.1.9 5.3
metadc277482,19930084775,59.74931680335537,1277.1626252511726,"Zahm, A. F.",The vector ruling protractor,TM,vector slide rules vector diagrams,4.0 3.0 11.0 8.0,8.1 8.2 9.1 9.2
metadc277483,19930090716,343.4145320878848,1210.6072076068613,Freyssinet,"Concrete Airship Sheds at Orly, France Part 1: General Aspect of the Problem, Basic Principles of the Final Project, Principal Structural Elements",TM,airships airship sheds,37.0,1.7.5
metadc277484,19930087097,971.5748283507061,1243.4877208880728,"Van Zandt, J. Parker","Report on Commercial Air Transportation Activities in England, France, Germany and Holland",TM,commercial aircraft air traffic,106.0,7.9
metadc277485,19930084563,185.39314588961716,1280.459530187836,"Seehase, H.",Wood Versus Metal in Airplane Construction,TM,aircraft construction aircraft materials,20.0 20.0,5.1.1 5.1.7
metadc277486,19930092451,441.7574238098128,1066.0479177818004,"Hübner, Walter",Relation Between the Stability Characteristics and the Controllability of German Airplanes,TM,aircraft stability aircraft control,51.0 45.0,1.7.1.2 1.8.5
metadc277487,19930092453,947.4858667063718,1061.9745307776939,"Wendlandt, Rudolf",Experimental Investigations Concerning the Limits of Detonation in Gaseous Mixtures: Part 1,TM,detonation limits flame velocities,103.0,3.5.2.1
metadc277489,19930080988,186.48583859811242,1251.671756754996,"Lee, John G.",Tests on Duralumin Columns for Aircraft Construction,TN,duralumin metallic properties,20.0,5.1.1
metadc277490,19930094784,598.9322445830675,1005.1858670925876,"Petersohn, E.",Downwash Measurements Behind Wings With Detached Float,TM,aerodynamics aircraft wings,65.0,1.2.2.7
metadc277491,19930090878,72.23741931739859,1074.6796365924763,"Seewald, F.",Force Measurements on Airplanes,TM,force measurements flight characteristics,4.0 11.0 8.0,8.1 9.1.2 9.2.2
metadc277492,19930092128,921.5691379221267,253.87794175491,"Macks, E. Fred",Comparison of High-Speed Operating Characteristics of Size 215 Cylindrical-Roller Bearings as Determined in Turbojet Engine and in Laboratory Test Rig,TR,oil viscosity roller bearings,99.0 99.0 99.0 100.0 100.0,3.8.1 3.8.3.1 3.8.4 3.9 3.9.1
metadc277493,19930090873,471.31906942954856,1092.517457608549,"Lippisch, A.",Technical report of the 1928 Rhon soaring-flight contest,TM,gliders aircraft design,51.0,1.7.1.3
metadc277494,19930090883,182.2543879457216,1066.8427608823797,"Brenner, Paul",Lautal as a Material for Airplane Construction,TM,aluminum alloys lautal aircraft construction,20.0,5.1.1
metadc277495,19930084744,505.95708380953687,1284.1637956532693,"Laboccetta, Letterio","The Vertical Accelerometer, a New Instrument for Air Navigation",TM,vertical accelerometers aircraft instruments,106.0 4.0,7.2 8.1
metadc277496,19930090687,890.6973508346925,1206.7199602251046,"Heinlein, Fritz","Experimental Investigation of the Physical Properties of Medium and Heavy Oils, Their Vaporization and Use in Explosion Engines Part 2",TM,aircraft fuels aircraft engines,97.0,3.4.2
metadc277497,19930094816,533.6282171370432,1009.0352762181984,"Schiller, L.",Resistance of Plates and Pipes at High Reynolds Numbers,TM,resistance properties plates pipes,58.0,1.1.3
metadc277498,19930092447,917.2659481817404,1037.7331953371718,"Duchene, M. R.",Contribution to the Study of Normal Burning in Gaseous Carbureted Mixtures: Part 1,TM,aircraft fuels aircraft combustion,97.0 103.0,3.4 3.5
metadc277499,19930086274,225.44017617453412,1272.733640932879,"Dumanois, P.",Fatigue of Internal Combustion Engines,TM,aircraft engines internal combustion engines fatigue properties,26.0 23.0,5.2.5 5.3.2
metadc277500,19930090905,471.4499145532826,1086.527451082642,"Töpfer, Carl",Airplane Drag,TM,aircraft drag gliders,51.0 51.0,1.7.1 1.7.1.3
metadc277502,19930090867,488.48829094131173,1093.9472459802193,"Wieselsberger, C.",Theoretical Investigation of the Effect of the Ailerons on the Wing of an Airplane,TM,ailerons aircraft wings,65.0 41.0,1.2.2.1 1.8.2.2
metadc277503,19930083399,880.5010747950943,1285.3402664448365,"Fedden, A. H.",Fixed Air-Cooled Engines,TM,aircraft engines air-cooled engines,93.0 93.0 101.0,3.1.1.1 3.1.10 3.10.1.2
metadc277504,19930084545,69.3008433580317,1284.1356914861915,"Lèpere, M.",Trend to Be Given Aerodynamical Research and Experiment,TM,aerodynamics testing errors,8.0,9.2.2
metadc277505,19930090727,70.34452402632297,1206.7806031135678,"Von Baumhauer, A. G.",Photographic Time Studies of Airplane Paths,TM,aircraft landings time records,4.0 11.0 8.0,8.1 9.1.2 9.2.2
metadc277506,19930090747,892.0860120229027,1196.4238356525314,"Heinlein, Fritz","Experimental Investigation of the Physical Properties of Medium and Heavy Oils, Their Vaporization and Use in Explosion Engines Part 4",TM,aircraft fuels fuel vaporization,97.0,3.4.2
metadc277507,19930090872,340.44702885237075,1068.620191418665,"Krell, O.",Contribution to the Technique of Landing Large Airships: Part 2,TM,airships mooring masts aircraft landings,37.0,1.7.5
metadc277508,19930086405,625.5146014673231,1263.1581951048088,"Betz, A.",Velocity and Pressure Distribution Behind Bodies in an Air Current,TM,aircraft resistance aircraft drag aerodynamics,68.0,1.3.2
metadc277510,19930094775,547.4413535914474,998.2482461316333,"Töpfer, Carl",Lift Distribution and Longitudinal Stability of an Airplane,TM,lift distributions aircraft stability,65.0 54.0,1.2.2.1 1.8.1.1.1
metadc277511,19930084028,55.03065666423914,1300.9335527634935,United States. National Advisory Committee for Aeronautics.,Aerial photography : obtaining a true perspective,TM,aerial photographs,4.0 8.0,8.1 9.2
metadc277512,19930085014,977.538703776576,1244.1451318507347,"Courtney, F. T.",The Practical Difficulties of Commercial Flying,TM,commercial aircraft aircraft safety,106.0 106.0 106.0,7.1 7.2 7.7
metadc277513,19930090896,408.49973678900454,1075.7476474289847,"Hübner, W.",Information Obtained From Airplane Flight Tests in the Year 1927-1928,TM,aircraft design flight testing,54.0 41.0 41.0 41.0 45.0,1.8.1.2 1.8.2.1 1.8.2.2 1.8.2.3 1.8.5
metadc277514,19930086410,84.87041352749006,1254.1612625440573,"Dollfus, Charles",Historical Notes on Aerodynamic Research,TM,aerodynamics aircraft history,11.0 8.0,9.1 9.2.2
